muong,viet,mu_sentence,vi_sentence,
bảo dẫi,báo thức,Tồng hồ bảo dãl cã páy dờ.,Đồng hồ báo thức lúc bảy giờ.,
bảo đỗng,báo động,Bảo đỗng nhà chẳl.,Báo động nhà cháy.,
bảo tin,báo tin,Ho bảo tin mờng cho ông pà hay rằng....,Tôi báo tin mừng cho ông bà biết...,
báo vễ,bảo vệ,Tữ báo vễ lễ miềnh.,Tự lo bảo vệ mình.,
bão,"bạo, mạnh bạo",Bão mồm bão mẽnh.,Bạo mồm bạo miệng.,
bão chủa,bạo chúa,Ác nhơ bão chủa.,Ác như bạo chúa.,
bat,hắt,Đác mưa bat pao nhà.,,
Nước mưa hắt vào nhà.,,,,
bát,cây mát (một thứ cây ở rừng),Chả khảng đăm tằm tằm pông bát.,Rét tháng năm đằm đằm bông hoa cây mát, rét tháng hai cây mát ra hoa.
bát nhảo,bát nháo,Chở dỗng pỡi thàng bát nhảo đi.,Đừng chơi với thằng bát nháo ấy.,
bau,mau (trái với thưa),Mưa bau.,Mưa mau.,
bau mẽnh,"mau miệng, luôn miệng",Người đi bau mẽnh.,Cô ấy nói luôn miệng.,
bay,cái bay,Chăng cỏ cảy bay tí là po mà tliết ản?,Không có cái bay thì làm sao mà láng được?,
Bắc,Bắc,"Đông, Tây, Nam, Bắc.","Đông, Tây, Nam, Bắc.",
bắc,mắc,Cau pớ khởm mà chăng bắc con cả nò.,Câu từ sáng mà không mắc con cá nào.,
bắc,mắc (bệnh),Khảng chả hay bắc bễnh củm.,Mùa rét hay mắc bệnh cúm.,
bắc bắc,khanh khách (tiếng cười),"Điênh tay, nả cười bắc bắc.",Khoái chí nó cười khanh khách.,
bắc cau,mắc câu,"Con cả tà bắc câu, chăng cữa tha ản.","Con cá đã mắc câu, không gỡ ra được.",
bắc ket,mắc kẹt,Ho phái bắc ket hùa da đã.,Tao bị mốc kẹt vì mày đấy.,
bắc lừa,mắc lừa,Ho phái bắc lừa thằng đỉ rồi.,Tôi bị mắc lừa bởi thằng đó rôi.,
bắc má,liệm,Pẫu bắc má ông đỉ cã lẵn măt tlời.,Người ta liệm ông ấy lúc mặt trời lặn.,
bắc nãn,mắc nạn,"Thiền nhó tha pế cá, hay bắc nãn.",Thuyền nhỏ ra biển cả hay mắc nạn.,
bắc nỡ,mắc nợ,Nả còn bắc nỡ ho pa tồng.,Nó còn mắc nợ tôi ba đồng.,
bài ảo,may áo,"Mãng ỡi, băl ảo mới cho ho. Mẹ ơi, may áo mới cho con.",,
băl băl,cỏ may,Pông có băl băl hay chọc pẻn quần ảo.,Bông cỏ may hay đâm dính vào quần áo.,
băl băl,cỏ may,Pông băl băl păl tlong xỏ.,Bông cỏ may bay trong gió.,
băl pả,khâu vá,Băl pả chi ủn.,Khâu vá cái gì đấy em?,
bẳl măt,"chớp mắt, máy mắt",Chăng mắt tãi ma chi mà ho bẳl măt mãi.,Không hiểu tại sao mà tôi máy mắt liên tục.,
bẳm,mắm,Nhà mễ đỉ cỏ môch pàng bẳm thép điênh ăn lẳm.,Nhà bà ấy có một hũ mắm tép ăn ngon lắm.,
bẳm,mắm,Bẳm cả.,Mắm có.,
bẳm,mắm,Bắm thôm.,Mắm tôm.,
băn khoăn,băn khoăn,"Da chăng phái băn khoăn chi nưa, chiễn chỉ tiểnh ná há tiểnh.","Anh không phải băn khoăn lo lắng gì nữa, chuyện gì đến nó sẽ đến.",
bắn,"bẳn (tính), cáu",Náy bắn liênh.,Phát bẳn lên.,
bắn,"bẳn (tính), cáu","Ho hay bắn tỉnh lắm, da chở ngắm là po nỡ.","Tớ hay cáu lắm, cậu đừng chấp nhé.",
băng,măng,Băng mu tồ ăn tẳng ngảu.,Măng vầu đồ ăn đắng quá.,
băng,băng,Ni là cải cuỗn băng đỉnh.,Đây là cuộn băng dính.,
băng pỏ,băng bó,"Băng pỏ vết thương da lãi, tớ điênh thỉa ruồi nả pu pao đưới lắm.","Băng bó vết thương lại, để như vậy ruồi nó bâu trông ghê lắm.",
băng tle,măng tre,Băng tle tẩm chua i điênh ăn.,Măng tre ngâm chua ăn cũng ngon.,
bằng,bằng,Nả cỏ bằng tủ tài.,Nó có bằng tú tài.,
bằng lải,bằng lái,Nả cỏ bằng lải tàu thí.,Nó có bằng lái tàu thủy.,
bằng lòng,bằng lòng,Ho bằng lòng mua pỡi dả đỉ.,Tôi bằng lòng mua với giá đó.,
bẳng,mắng,"Chở là dòng đỉ, nả bẳng cho mà thiêt.","Đừng làm như vậy, nó mắng cho mà thiệt.",
bằng bun,chửi rủa,Khà mễ đỉ tài bẳng bun.,Bà già ấy tời chửi rủa.,
bẳng chớ,chửi đổng,"Khây hôm pà đỉ bât ca, khởm may bẳng chớ ti.","Đêm qua mất gà, sáng nay bà ta chửi đổng.",
bẳng chưới,chửi mắng,Mễ đỉ bẳng chười con cá ngày.,Bà ấy chủi mắng con suốt ngày.,
bẳng tlá,"mắng trả, cãi lại","Bẳng tlá pổ cây, tiểu đỉ chăng điênh.","Cãi lại bố mẹ, điều đó không nên.",
bẳng rà,chửi nhau,Chở cỏ bẳng rà mà xẩu hố pẫu.,Đừng có chửi nhau mà xấu hổ người ta.,
bẳng thề,chửi thề,Bẳng thề điênh thỉa chăng điênh no.,Chửi thề như vậy không tốt.,
bâc,bậc,Cải bâc khũ nì nả khơn lẳm.,Cái bậc đá này nhẵn lắm.,
bâc,bậc (trong quan hệ),Ông Cương là bâc pổ cây.,Ông Cương là bậc cha mẹ.,
bâc tliênh,bề trên,Ông đỉ là bâc tliênh ho chăng đẳm khể no.,"Ông ấy là người bề trên, tôi không dám nói đâu.",
bẩl,mò mẫm,Têm thổl da bẩl ti no?,Đêm tối này mày mò mẫm đi đâu?,
bầl xầl,"nhếch nhác, lôi thôi, lếch thếch, v.v... (hình dung sự không tốt, không đẹp)",Quần ảo bầl xầl.,Quần áo rúm ró nhếch nhác.,
bầl xầl,"nhếch nhác, lôi thôi, lếch thếch, v.v... (hình dung sự không tốt, không đẹp)",Miếng nhúc bầl xầl. Miếng thịt bèo nhèo.,,
bâm,mâm,"Ti maĩnh cho ho mẩy cải bâm, ói nưa ho pày cỗ.",Đi mượn cho tôi mấy cái mâm tí nữa tôi bày cỗ.,
bâm cỗ,mám cỗ,"Bâm cỗ nì còn thiểu đác bẳm, tàn ủn ời.",Mâm cỗ này còn thiếu nước mắm mấy cô ơi.,
bâm hồng,mâm rồng,Tũa khon bâm hồng nhơ ông pỡi bỡ.,Đũa son mâm rồng như chồng với vợ.,
bâm khon,mâm son,Bâm khon pát khử.,Mâm son bát sứ.,
bâm puc,"bục, bạo (cửa)",Bâm puc bỏng pão.,"Bục cửa, bạo cửa sổ.",
bẩm,bấm,"Hảo pẫu bớ cứa, phái bẩm chuông.",Muốn người ta mở của phải bấm chuông.,
bân xân,"thướt tha, suôn, mềm mại, v.v",Thắc enh chàng bân xân.,"Tóc anh chàng bân xân (hình ảnh mới tóc đẹp, chùng).",
bần cùng,bần cùng,Nhà tửa Dẫu y bần cùng lẳm.,Gia đình anh Dậu cũng bần cùng lắm.,
bần nông,bần nông,Tlùa nhà mễ Tươi là môch nhà bần nông.,Gia đình bà Tươi là một gia đình bần nông.,
bấn phẫn,"phận, bổn phận",Bấn phẫn là con phái hầu pỗ mễ.,Bổn phận làm con phải hầu cha mẹ.,
bẫn hãn,"hạn, vận hạn",Mõl khổng chăng tiẻnh khói bẫn hãn.,Người sống thường không tránh khỏi vận hạn.,
bẫng,vững,"Nả tau lô lẳm rồi, ti chăng bẫng nưa.","Nó đau lâu lắm rôi, đi không vững nữa.",
bất,mất,Ho là bất hết chây tờ hỗ thân rồi.,Tôi làm mất hết giấy tờ cá nhân của tôi rồi.,
bất chảu,mất rể,"Con cải nả tá ông, thứa là nhà đỉ bất chảu.","Con gái họ bỏ chông, thế là họ mất rể.",
bất cốc,mất hết vốn,Ti puôn bất cốc.,Di buôn mất cả vốn.,
bất cốc,mất gốc,Nả là môch thàng bất cốc.,Hắn là một thằng mất gốc.,
bất công,mất công,"Bất công ti liênh ti thuổng, chăng ản wiêc chi.","Mất công đi lên đi xuống, không được việc gì cả.",
bất cướp,bị cướp mất,"Nã cỏ ói tiền, mé ti khả bất cướp hết.","Nó có một ít tiền, nhưng đi đường bị cướp mất hết.",
bất lằng,mất lòng,Là cho ay bất lằng.,Làm mất lòng ai.,
bất lằng,mất lòng,Thiếng pỗ chăng bất lằng ké khỏ con khang.,Lời nói không mất lòng kẻ khó người sang.,
bất lỗm,mất cắp,Đồ da bất lỗm hết rồi à?,Đồ đạc của mày bị mất cắp hết rồi à?,
bất mãn,bất mãn,Ho thật là bất mãn tàn cảy wiệc da là.,Những chuyện anh làm tôi bất mãn lắm.,
bất mãng,mất mạng,"Dỗng pởi khủng tãn, bất mãng nhơ chơi.",Chơi với súng đạn đễ mất mạng như chơi.,
bất mùa,mất mùa,Năm nay tãi hãn tàn tôi bất mùa.,Năm nay đại hạn chúng tôi bị mất mùa.,
bất ngờ,bất ngờ,"Nả tiểnh bất ngờ, chăng lâp chẵl.","Nó đến bất ngờ, không kịp chạy.",
bất nhẩl,giật mình hoảng sợ,Da chở hét to mà thàng đét bất nhẩl.,Mày đừng hét to mà thằng nhỏ giột mình hoảng sợ.,
bất nhân,bất nhân,"Mõl dan ác, bất nhân.","Kẻ gian ác, bất nhân.",
bất ró,mất không,"Bất ró hal tồng, chăng ản cải ma chi.","Mất không hai đồng bạc, chẳng được tích sự gì cả.",
bất táy,mất ngủ,Tà hal têm bất táy.,Đã hai đêm mất ngủ.,
bất thiểng,cấm khẩu,Nâ ổm bất thiểng rồi.,Nó đau nặng cấm khẩu rồi.,
bất tích,mất tích,Con tửa mễ đỉ bất tích tà hal năm nay rồi.,Con trai bà ấy đã bị mất tích đã hai năm nay rồi.,
bất tính,bất tỉnh,"Hal khà tảnh rà, rồi hal khà tều bất tính.",Hai người đánh nhau rồi cả hai đều bất tỉnh.,
bất tlĩ,bất trị,Con cảy nhà ay mà lòl quả hê bất tlĩ là hong.,"Con cái nhà ai mà nghịch quá, bất trị thật.",
bất wãi,mất vía,Đố nả lù lù môch cổ là miềnh bất wãi.,Thấy nó lù là một đống làm mình mất vía.,
bất wắng,mất hút,Nả ti khả nò bất wắng thìm chăng tha.,Nó đi đường nào mốt hút tìm không ra.,
bât xât,lật phật (mô tỉ âm thanh),,,
bầu,cây bầu, quả bầu,Nhà mễ Việt cỏ môch rường bầu khai lẳm.,Nhà bà Việt có một giàn bầu sai lắm.
bẩu,bấu,Bẩu thay.,Bấu tay.,
bẩu bỉu,bấu víu,Nả chăng mắt bẩu bỉu pao no.,Nó không biết bấu víu vào đâu.,
bẩu nẻo,bấu véo,Da chở bẩu nẻo ho mà tau.,Em đừng bấu véo anh mà đau.,
bẩu xẻ,bấu xé,"Là chi mà phái bẩu xẻ rà điênh thỉa, hảo pó rà à?","Làm gì mà bấu xé nhau như vậy, muốn giết nhau à?",
bây,"phó bĩnh, bây bạ","Cải tlu nì kẻo cằl tà nhoc, nả hay bây.","Con trâu này kéo kày đã mệt, nó hay phá bĩnh.",
bây,"bao vây, bao quanh, vây quanh",Hào bây tí khói tlu lổn.,Rào vây quanh để ngăn trâu khỏi chui phá.,
bẩy,"từ dùng ở cuối câu kể, miêu tả",Đố dòng đi đã bẩy.,Thấy như thế (đấy).,
bẫy,vậy,Là chi thở bẫy?.,Làm gì vậy?,
bẫy,bậy,Da ớ yên chở pỗ bẫy.,Mày im đi đừng nói bậy.,
bẫy bã,"bậy bạ, lung tung",Enh đỉ cỏ (mẩy) hớp rão pao là pỗ chớ cháng bẫy bã.,Anh ấy có ba hớp rượu vào là nói lung tung.,
bẻ,"bé, nhỏ",Còn bẻ.,Còn bé.,
bẻ bẻ,bé nhỏ,Bẻ bẻ mé cỏ tiẻ cong lằng.,Tuy bé nhưng có sức mạnh trong lòng.,
bể hà tlêu,bé hạt tiêu,Đố nả bẻ hà tiêu điênh thỉa mé nả hăng lẳm.,"Trông nó bé hạt tiêu đấy, nhưng nó gan lắm.",
bé,tấm phên (để phơi đựng),Bé kẻn.,Phên đựng kén tằm.,
bẻo,méo,Khây nò nả nhãm mồm nả bẻo lãi môch pên.,Mỗi khi khóc mồm nó méo xệch đi.,
bep,bẹp,Da puồn chi mà nằm bep cá ngày?,Cậu buồn gì mà nằm bẹp cả ngày?,
bep dỉ,bẹp gí,"Chăng dẫl mà ti là, còn nằm bep dỉ ớ đỉ à?","Không dậy mà đi làm, còn nằm bẹp dí ở đó à?",
bét,nhão,Tất bét.,Đất nhão nhoét.,
bét,bét (thứ hạng),"Chăng mắt nả học hành là po, mà khảng nò nả y chõng bét.","Không biết nó học hành thế nào, mà tháng nào cũng đứng hạng bét.",
bét bét,chim én,Mùa lẽnh chim bét bét tha từ lẳm.,Mùa rét chin én ra nhiều lắm.,
bét bét,chim én,Bét bét păl tliênh tlời,Chim én bay trên trời.,
bê tông,bê tông,Cẩng nhơ bê tông cốt khách.,Cứng như bê tông cốt sắt.,
bể mac,bế mạc,Chương tlình tàn tôi tiểnh ni là bể mac.,Chương trình của chúng tôi đến đây là bế mạc.,
bếch,"chặt, vát",,,
bễnh,bệnh,Mùa nỏng hay bắc bãnh tau tlỗng.,Mùa hè hay mắc bệnh đau bụng.,
bễnh đải,kiết lị,Ay cỏ bễnh đải hay tau tlỗng cá ngày.,Ai có bệnh kiết lị hay đau bụng cả ngày.,
bễnh khới,bệnh sởi,Đét con hay điênh bễnh khới.,Trẻ em hay mắc bệnh sởi.,
bễnh hay lây,bệnh hay lây,Bễnh lao là bễnh hay lây.,Bệnh lao là bệnh hay lây.,
bễnh the lùn,bệnh hủi,"Mễ đỉ mắc bễnh the lùn, mé tà tẩng rồi.",Bà ấy mắc bệnh hủi nhưng đã khỏi rồi.,
bếp,mếu,Là po da lãi bếp nhãm rồi.,Làm sao mà lại mếu khóc rồi.,
bếp,"nốt, vết bớt",Nả cỏ môch cải bêp ớ pên mả tăm.,Nó có một cái bớt ở bên má phải.,
bếp nhãm,khóc mếu,"Ngỏ cải mẽnh nả bếp nhãm, nả bẻo ti môch pên.","Nhìn cái miệng nó khóc mếu, méo đi một bên.",
bì,"bì, túi",Cải nì là bì đởng cảo.,Cài này là bì đựng gạo.,
bỉ quyết,bí quyết,Bỉ quyết cúa thành công là chiu khỏ.,Bí quyết của thành công là chịu khó.,
bỉ thư,bí thư,Enh Ba là bỉ thư đoàn thanh niên.,Anh Ba là bí thư đoàn thanh niên.,
bí ổi,bỉ ổi,Wiệc da là quả bí ổi.,Việc này làm quá bì ổi.,
bĩ can,bị can,Bĩ can A phái tù pa năm.,Bị can A bị tù ba năm.,
bĩ cảo,bị cáo,Phiên toà nì xứ pa bĩ cáo.,Phiên toà này xử ba bị cáo.,
bia,bia,"Xin ông vui lòng dùng bia ró, ớ ni chăng cỏ đác đả ẽ.","Xin ông vui lòng dùng bia không, ở đây không có đá.",
bìa,bìa,Cải bìa khách nì thôch lẳm.,Cái bìa sách này đẹp quá.,
bĩa,bịa,Bĩa chiễn.,Bịa chuyện.,
bĩa tach,bịa đặt,Nả khể tlóng là chiễn bĩa tach.,Nó nói toàn chuyện bịa đặt.,
bĩa tliễn,bịz chuyện,Da chở bĩa tliễn tha mà chít.,Mày đừng bịa chuyện ra mà chết.,
biên,phên cót nỏ,Lễ pồn tach pao biên tí pằm nhúc ca.,Lấy thớt đặt lên phên cót để chặt thịt gà.,
biên chép,ghi chép,Da phái biên chép pao khố khách tú tể háy.,Cậu phải ghi chép vào sổ sách cẩn thận nhé.,
biên thên,ghi tên,Ho hảo biên thên pao hoc lớp y tả.,Tôi muốn ghi tên vào học lớp y tá.,
biển bất,biến mất,"Cẵm cẵm đô nả biển bất, chăng mắt nả tỉ no.","Bỗng nhiên nó biến đi mất, không biết nó biến đi đôu.",
biễn dái,biện giải,Nả biễn dái i tài điênh nả chăng phãi thỗi.,Nó biện giải cũng tài nên nó không bị tội.,
biêng,chăn đơn,"Cải biêng nì hel quả hê, khảng chẳ lãnh mẵn đã.","Cái chăn này mỏng quá, mùa đông thì lạnh lắm.",
biêng,chăn đơn,Tủm biêng.,Đắp chăn đơn.,
biểng,ninh (cái bằng đồng khi đồ đặt ở dưới cùng để đun lấy hơi làm chín gạo hoặc thức ăn ở trên),,,
biết,biết,Biết chữ.,Viết chữ.,
biểu,biếu,Nhẫn quà biểu.,Nhận quà biếu.,
biểu xén,biếu xén,"Cải quà cúa pẫu biểu xén, là chi mà cỏ từ.",Quà người ta biếu xén làm sao mà cho nhiều được.,
biếu dương,biểu dương,Cấp tliênh biếu đương thành tích ha.,Cấp trên biểu dương thành tích chúng ta.,
biếu ngữ,biểu ngữ,"Cã ti, chứ cầm theo hal cải biếu ngữ nì.",Khi đi nhớ mang theo hai cái biểu ngữ này.,
biếu tình,biểu tình,Enh tà dữ cuôc biếu tình nò chua?,Anh đã dự cuộc biểu tình nào chưa?,
bỉm,"ví, bóp","Cải bỉm da cá, chắc cỏ từ tiền.",Cái ví anh to thế chắc có nhiều tiền.,
bỉm thay,ví xách tay,Tàn tôi chăng khây nò dùng bỉm thay no.,Chúng tôi không dùng ví xách tay đâu.,
binh lỉnh,binh lính,Tời binh lnh cỏ từ khỏ nhọc.,Đời bính lính có nhiều vất vả.,
binh lứa,binh lửa,Thời binh lứa cá xã hỗi khố.,Thời binh lửa cả xã hội khổ.,
bình,bình,Tí cải bình nì pao cân khữa nhà.,Đặt cái bình này ngay giữa nhà.,
bình hão,bình rượu,,,
bình hương,bình hương,Cải bình hương nì thốch lẳm.,Cái bình hương này đẹp lắm.,
bip,bịp,Nả tang là tlò bip pẫu.,Nó đang làm trò để bịp người ta.,
bip bỡm,bịp bợm,Nả là thàng bip bỡm.,Nó là thằng bịp bợm.,
bỉu,"níu, víu",Ủn bỉu chặt pao chăng há nả lớ.,Em níu cho chặt vào không ngã.,
bỉu môi,bĩu môi,Ho là chi mà da bỉu môi?,Tao làm gì mà mày bĩu môi?,
bo,cây bo (một loại cây giống cây riềng),,,
bỏ,giếng,Cải bỏ đác nì đác maích lẳm.,Cái giếng nước này nước mát lắm.,
bỏ,"trông coi, trông nom",Bỏ ùn.,"Trông em, giữ em.",
bỏ,"trông coi, trông nom",Da bỏ ủn khẻo dửa.,Cháu trong em khéo nhỉ.,
bỏ Bon,giếng Bon (tên một cái giếng ở mường Bi),,,
bỏ Bon,Trông con,Chăng cung bỏ con cho ho.,Chẳng có ai trông con cho tôi.,
bỏ bốc,giếng khơi,Cải bỏ nì là bỏ bốc.,Cái giếng này là giếng khơi.,
bỏ Cá,giếng Cả (tên một giếng ở mường Khến),,,
bỏ Cờ,giếng Cờ (tên một giống ở mường Khến),,,
bỏ dầu,giếng đâu,"Ở wài pế, pẫu tang khoan bỏ dầu.",Ở ngoài biển người ta đang khoan giếng dầu.,
bỏ đác,"giếng nước, giếng phun",Bỏ đác nì maích lẳm.,Giếng nước này mát lắm.,
bỏ đác mach,giếng nước mạch,Maích nhơ bỏ đac mach.,Mát như giếng nước mạch.,
bỏ Đân,giếng Đân (tên một giếng ở mường Bi),,,
bỏ Lang,suối Tưng (tên một khúc suối ở mường Bi),,,
bỏ Lảo,giếng Láo (tên một giếng ở mường Bi),,,
bổ Mười,giếng Mười (tên một giếng ở mường Bi),,,
bỏ Thô,giếng Thô (tên một giếng ở đất mường),,,
bỏ pảnh,giếng phun,Bỏ đác nì là bỏ pảnh.,Giếng nước này là giếng phun.,
bó,lá bó (tên một loại lá cây dùng để làm thuốc nhuộm đen),,,
bó,bỏ,Nhỗn quả hê tá bó con đét ãm thổl ngày.,Bận quá bỏ trẻ con khóc cả ngày.,
bó phiểu,bỏ phiếu,Ngày dao là ngày bó phiểu.,Ngày mai là ngày bỏ phiếu.,
bó quả,bỏ quá,Xin ông mễ bó quả cho chiễn đỉ.,Xin ông bà bỏ quá cho chuyện đó.,
bõ,bọ,Da chí là dổng khâu bõ ăn hãi.,Mày chỉ là giống sâu bọ ăn hại.,
bóc,móc,Cầy bóc cua.,Cẩy móc cua.,
bóc,vóc,Thốch nhơ ảo bóc.,Đẹp như áo vóc.,
bóc gẩm,"vóc gấm, gấm vóc",Bóc gẩm là đồ cúa quan tlênh mẫn ngày.,Vóc gấm ngày xưa chỉ có quan mới được dùng.,
bóc mãnh,"thọc miệng, cho tay vào miệng",Tla thay bóc mốm bóc mẽnh dòng đỉ chăng điênh.,Cho tay vào miệng như thế không tốt.,
bóc thủl,móc túi,Nả phái pẫu póc thủl hết hal mươl ngìn.,Nó bị móc túi mất hai mươi nghìn.,
bóch,mướt,Ủn Hal cỏ môch cải ảo màu tlắng bóch.,Cô Hai có một cái áo trắng lốp.,
bỏi,muối,"Tla bỏi vừa thơi,",,
chăng chẳm háy.,Cho muối vừa,,,
"thôi, không thì mặn đấy.",,,,
bỏi,muối,Ăn cơm pỡi bỏi dách xỏi xỏi nẫm nà.,Ăn cơm với muối nhảy lâng tông trên bờ ruộng.,
bỏi li,"muối li, hạt muối nhỏ, muối giả",Bỏi li wâng hang.,Muối giã vừng rang.,
bol,moi,Bol lòng.,"Moi lòng (khi mổ gà, lợn lấy lòng ra).",
bol tốt,"moi đốt (làm cho thông đốt ở ruột cây bương, nứa, giang)",Hề dầm bol tốt câl tang hề wàng bol tốt câl hảo.,"Chuột đen moi đốt cây giang, chuột vàng moi đốt cây nứa.",
bỏi wâng,muối vừng,Ho ưa ăn bỏi wâng lắm.,Tôi thích ăn muối vừng lắm.,
bom,bom,Tàu păl tlé bom.,Máy bay ném bom.,
bòn đãi,bòn đãi,Da bòn đãi hết cúa cái ớ tlong nhà nì mới thôi.,Bòn đãi hết của cải trong nhà mới thôi.,
bòn mét,bòn mót,"Cây da phái ti bòn mét chầng tồng, mà da phả thỉa?",Mẹ con phải bòn mót từng đồng mà sao con tiêu hoang quá vậy?,
bòn rút,bòn rút,"Mễ đỉ còn môch ói tiền, nả bòn rút cho hết mởi thôi.","Bà ấy còn một ít tiên, nó bòn rút moi móc cho hết mới thôi.",
bong,"(âm thanh) chuẩn, hay",Ổng ôi nì bong hông.,Ống sáo ói này tiếng chuẩn.,
bong,nghe lời,Nả bong rồi.,Nó nghe lời rôi.,
bong,trả lời,Tà bong đã.,Đã trả lời.,
bong,trả lời,Da bong nã pỡi.,Mày trẻ lời nó đi nào.,
bong,trả lời,Là po ho hốc da chăng bong?,Làm sao tôi gọi mà anh không trả lời?,
bong,"vong, vía",Bong enh.,Vong hồn (của anh).,
bong,"vong, vía",Bong ủn.,Vong hồn(của em).,
bong thiểng,"vâng lời, nhận lời","Nả tà bong thiếng, nả là thơi chăng lo no.","Nó đã vâng lời, nó thực hiện đấy không lo đâu.",
bong tlẫn,trận vuong, chết nơi chiến trường,Hôm may là ngày kí niễm chiển xĩ bong tlẫn.,Hôm nay là ngày kỷ niệm chiến sĩ trận vong.
bỏng,bóng,Ti ngỏ tả bỏng.,Đi xem bóng đá.,
bỏng,cửa xổ,Liênh ngồi khênh bỏng cho maích.,Lên ngôi gần cửa sổ cho mát.,
bỏng,cửa xổ,"Hão ngay hề ỏng hơ, bỏng ngay hẽ ngồi hơ.","Rượu ai người ấy uống trước, của sổ ai người ấy ngồi trước.",
bỏng bì,bóng bì,Bỏng bì là pằng ta củi điênh ăn lẳm.,Bóng bì làm bằng da lợn ăn ngon lắm.,
bỏng chiềng thờ,cửa sổ sát bàn thờ (cửa sổ đầu trên của nhà sàn),,,
bỏng chúc,cửa sổ chúc (cửa sổ phía dưới),,,
bỏng lãi,cửa sổ đâu (tính từ ngoài vào trong),,,
bỏng tliênh,cửa sổ phía trên (cửa sổ phía trước sàn nhà),,,
bỏng pang,cửa sổ trới,"Kun kép bỏng pang, Chăng Wàng bỏng lãi.","Thờ Kun Kép ở cửa sổ bên trái, thờ ông Chàng Wàng ở của sổ đầu.",
bỏng tãl,cửa sổ đầu tiên của nhà sàn (tính từ ngoài vào trong),,,
bõng,bọng,Cải bõng đác nì hảo pế rồi.,Cái bọng nước này sắp vỡ rồi.,
bót,"chồi nõn, ngọn",Bót mi.,Ngọn cọ.,
bót,cái mộng,Bót khăng ma.,Mộng quan tài.,
bót,ném,Bót cáo.,Ném mảnh nứa xuống đất để xem âm dương.,
bót tlẳng,"nõn trắng, trắng nõn",Ảo bót tlẳng.,Áo trắng nõn.,
bót mỉ,"chồi, ngọn cọ",,,
bót mùl,chồi cây cọ,,,
bót tuông nèo,nguyền rủa,"Chở bót tuông nèo, cheo tuông nẵng.",Đừng nguyền rủa nặng lời độc địa.,
bô,bô,Cải bô nì tí đởng đác khơm.,Cái bô này dùng đựng nước bẩn.,
bô,chuyện,Ăn cơm nỏi nhảo ông hão nhôc bô nơi wè.,"Ăn cơm nói chuyện, uống rượu kể chuyện bể vè.",
bô,vô,Bô lí.,Vô lí.,
bộ đãng,bất lịch sự,Enh là mõl bô đăng lẳm.,Anh là người bất lịch sự lắm.,
bô hơ,chuyện cổ tích,Dã ho hay kế bô hơ.,Bà nội tớ hay kể chuyện cổ tích.,
bô lỉ,vô lí,Chở cãi bô lỉ.,Chớ cãi vô lí.,
bồ,bổ,Cuốc bồ thẳn thuổng tất.,Cuốc bổ mạnh xuống đất.,
bổ,"bố, dây bố (một loại dây leo trong rừng)",,,
bố,mổ,Hay bố,Biết mổ.,
bố,mổ,Bố tlỗng.,Mổ bụng.,
bố,bổ (giao cho phải làm việc gì đó),Bố cho mỗi nhà môch con ca.,Bổ đầu cho mỗi nhà (phải) một con gà.,
bố lõi,"bổ lõi, khoét lõi",Lễ khìu bố lõi câl kiêng.,Dừng rìu bổ khoét lõi cây nghiến.,
bỗ,bộ,Môch nước chia tha từ bỗ.,Một nước chia ra nhiều bộ.,
bỗ,bộ (quẩn đo),Môch bỗ quần ảo.,Một bộ quân áo.,
bỗ đồ thốch,bô cánh,Ay i phái cỏ môch hal bỗ đồ thốch tí diễn.,Ai cũng phải có một vài bộ cánh để diện.,
bỗ đỗi,bộ đội,Nả ti bỗ đỗi ản pa năm.,Nó đi bộ đội được ba năm.,
bỗ hã,bô hạ. Ông đỉ ti no y cỏ bỗ hã ti theo,Ông ấy đi đâu cũng có bộ hạ đi theo.,,
bỗ lac,bộ lạc,"Bỗ lac ói mốl nhất là dổng mõl nò, enh cỏ mắt chăng?","Bộ lạc nào ít người nhất, anh có biết không?",
bỗ mảy,bộ máy,Bỗ mảy cong cơ thế mõl là tinh vi nhất.,Bộ máy trong cơ thể con người là tinh vi nhất.,
bỗ măt,bộ mặt,Thú đô là bỗ măt cúa môch nước.,Thủ đô là bộ mặt của một nước.,
bỗ ngách,bộ óc,Ay cỏ bỗ ngách dói là tửa tài.,Ai có bộ óc giỏi đó là người tài.,
bỗ thô,bộ râu,Ông đỉ cỏ môch bỗ thô quai đỏn thốch lẳm.,Ông ấy có bộ râu quai nón đẹp lắm.,
bốc bỏ,khơi giếng,Nả là thỡ bốc bỏ.,Nó là thợ khơi giếng.,
bôi,khen,Ho i bôi da đã.,Tôi cũng khen cậu đấy.,
bôi,khen,Ớ 1 khẻo tí mãng bôi.,ởỞ cho ngoan để mẹ khen.,
bôi khen,khen ngợi,Ản cấp tliênh bôi khen là vinh đữ.,Được cấp trên khen ngợi là sung sướng.,
bồi bố,bồi bổ,Chăng cỏ chỉ bồi bố mõl nả răc lãi.,"Không có gì bồi bổ, người gây rộc hẳn đi.",
bồi tắp,bồi đắp,Mỗi năm phù xa bồi tắp môch ói.,Mỗi năm phù sa bồi đắp một ít.,
bổi,"cây vối, lá vối",Lả bổi.,Lá vối.,
bỗi,vội,Ti no mà bỗi mà bàng.,Đi đâu mà vội mà vàng.,
bỗi bàng,vội vàng,Wiệc nì chăng bỗi bàng chi.,Việc này chẳng vội vàng gì.,
